brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατανάλωση,Κίνηση,Κτέομέχρι,Κλάσηρύπων,Μέγεθοςζάντας,Τέληκυκλοφορίας,Ρύποι(co2),Παράδοσηστοσπίτι,Χρηματοδότηση
Hyundai,i10,2016,Hyundai i 10 '16  1.0,Hyundaii101.0PASSION!!'16,334375014,8.690€,Μεταχειρισμένο,Αλλο,5/2016,73.000χλμ,Βενζίνη,998cc,67bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,39,www.car.gr/334375014,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,,,
Fiat,Punto,2009,Fiat Punto '09 Βενζίνη-Φυσικό,FiatPuntoΒενζίνη-Φυσικόαέριο!!'09,334060144,6.690€,Μεταχειρισμένο,Αλλο,11/2009,131.000χλμ,Φυσικόαέριο(cng)-βενζίνη,1.368cc,77bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,16,www.car.gr/334060144,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Fiat,GrandePunto,2009,Fiat Grande Punto '09 Βενζίνη-Φυσικό,FiatGrandePuntoΒενζίνη-Φυσικόαέριο!!'09,334060121,6.690€,Μεταχειρισμένο,Αλλο,11/2009,131.000χλμ,Φυσικόαέριο(cng)-βενζίνη,1.368cc,77bhp,Χειροκίνητο,Άλλο(Μεταλλικό),Μαύρο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,20,www.car.gr/334060121,6981128411,"['Abs', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Opel,Corsa,2018,Opel Corsa '18 1.3 CDTI,OpelCorsa1.3CDTIExpression'18,333687729,9.490€,Μεταχειρισμένο,Αλλο,10/2018,63.000χλμ,Πετρέλαιο,1.248cc,75bhp,Χειροκίνητο,Ασπρο,Μαύρο,,Άγνωστο,1,6,5,5,3ώρεςπριν,75,www.car.gr/333687729,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,,,,
Volkswagen,Golf,2014,Volkswagen Golf '14 1.2 TSI,VolkswagenGolf1.2TSITRENDLINE!!'14,321549965,9.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2014,182.000χλμ,Βενζίνη,1.197cc,105bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,Ύφασμα,Άγνωστο,1,10,5,5,3ώρεςπριν,81,www.car.gr/321549965,6981128411,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,,,
Mercedes-Benz,A140,2007,Mercedes-Benz A 140 '07,Mercedes-BenzA140CLASSIC!!'07,334426421,3.490€,Μεταχειρισμένο,Αλλο,6/2007,167.000χλμ,Βενζίνη,1.397cc,85bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα,Άγνωστο,1,6,5,5,3ώρεςπριν,151,www.car.gr/334426421,6981128411,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",,,,,,,,,
Mercedes-Benz,A200,2019,Mercedes-Benz A 200,Mercedes-BenzA200'19,333033128,34.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,5/2019,48.900χλμ,Βενζίνη,1.400cc,185bhp,Αυτόματο,Μαύρο(Μεταλλικό),,,Μονό,,,5,5,12ώρεςπριν,428,www.car.gr/333033128,6948008500,[],,,,,,,,,
Mercedes-Benz,E280,2008,Mercedes-Benz E 280,Mercedes-BenzE280'08,331702601,13.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2008,149.000χλμ,Βενζίνη,2.997cc,231bhp,Χειροκίνητο,Γαλάζιο(Μεταλλικό),Γκρι,Δέρμα,Ζυγό,,,5,5,3λεπτάπριν,3490,www.car.gr/331702601,6977634088,"['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Ατρακάριστο', '{Δερμάτινα καθίσματα', '{Ελληνικής αντιπροσωπείας', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Φώτα xenon', '{Φώτα που στρίβουν']",8(Μικτό)λ/100χλμ,Πισωκίνητο(RWD),,,,,,,
Opel,Corsa,2006,Opel Corsa,OpelCorsa'06,334444119,3.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2006,205.000χλμ,Αέριο(lpg)-βενζίνη,1.400cc,90bhp,Χειροκίνητο,Γκρι,Μαύρο,Ύφασμα,Άγνωστο,1,2,5,4,2ημέρεςπριν,61,www.car.gr/334444119,6988590861,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι']",,,1/2025,Euro4,15ίντσες,,,,
Audi,A3,2006,Audi A3,AudiA3'06,328399869,7.600€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2006,196.000χλμ,Βενζίνη,1.600cc,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Δέρμα,Μονό,2,6,3,5,2ημέρεςπριν,56,www.car.gr/328399869,6983286345,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Navigation - gps', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']","6(Εντός)/6(Εκτός)/6,50(Μικτό)λ/100χλμ",,9/2024,,18ίντσες,280€,,,
Volkswagen,Golf,2001,Volkswagen Golf '01 1.8,VolkswagenGolf1.820vt'01,327259733,9.600€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2001,105.500χλμ,Βενζίνη,1.798cc,503bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,Μονό,3,4,3,4,1ημέραπριν,5841,www.car.gr/327259733,6986812323,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Συναγερμός', 'Φώτα xenon']",,Προσθιοκίνητο(FWD),1/2023,,18ίντσες,320€,,,
Fiat,500,2009,Fiat 500,Fiat500'09,330165273,6.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2009,148.000χλμ,Βενζίνη,1.250cc,5bhp,Χειροκίνητο,Μαύρο,Κόκκινο,Δέρμα,Ζυγό,1,4,2,4,10ώρεςπριν,8,www.car.gr/330165273,6979966499,[],,,,,15ίντσες,,,,
Ford,Fiesta,2018,Ford Fiesta '18  ST1 1.5,FordFiestaST11.5EcoBoost'18,333176643,21.440€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2018,68.000χλμ,Βενζίνη,1.497cc,200bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,,Άγνωστο,1,,3,5,35λεπτάπριν,3224,www.car.gr/333176643,6989501066,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,Euro6c,17ίντσες,,,,
Smart,ForTwo,2003,Smart ForTwo,SmartForTwo'03,334494383,4.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2003,205.000χλμ,Πετρέλαιο,800cc,44bhp,Ημιαυτόματο,Γκρι,,,Άγνωστο,1,,2,2,2ημέρεςπριν,57,www.car.gr/334494383,6945150017,[],,,,,,,,,
Fiat,PuntoEvo,2012,Fiat Punto Evo '12 Diesel  euro,FiatPuntoEvoDieseleuro5'12,334169419,6.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2012,129.600χλμ,Πετρέλαιο,1.248cc,84bhp,Χειροκίνητο,Κόκκινο,Δίχρωμο,,Χωρίς,,,3,5,36λεπτάπριν,684,www.car.gr/334169419,6989501066,"['Abs', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,,Euro5,15ίντσες,,,,
Mercedes-Benz,E220,2019,Mercedes-Benz E 220 '19 Avantgarde 9G-TRONIC,Mercedes-BenzE220Avantgarde9G-TRONIC'19,330670454,52.500€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2019,72.000χλμ,Πετρέλαιο,2.000cc,194bhp,Αυτόματο,Μαύρο(Μεταλλικό),Γκρι,Δέρμα,Μονό,,,5,5,36λεπτάπριν,1184,www.car.gr/330670454,6989501066,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,Πισωκίνητο(RWD),,Euro6d,17ίντσες,146€,122g/km,Ναι,
Suzuki,SX4S-Cross,2014,Suzuki SX4 S-Cross '14 Euro,SuzukiSX4S-CrossEuro6'14,333594776,12.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2014,135.000χλμ,Βενζίνη,1.560cc,120bhp,Χειροκίνητο,Ασπρο,Γκρι,,Άγνωστο,,,5,5,36λεπτάπριν,590,www.car.gr/333594776,6989501066,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,Euro6,16ίντσες,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki,SX4S-Cross,2016,Suzuki SX4 S-Cross,SuzukiSX4S-Cross'16,334356054,18.750€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2016,78.000χλμ,Βενζίνη,1.400cc,140bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,Άγνωστο,1,,5,5,36λεπτάπριν,195,www.car.gr/334356054,6989501066,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κοτσαδόρος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,,Euro6c,17ίντσες,,,,
Ford,Fiesta,2016,Ford Fiesta '16 Diesel euro,FordFiestaDieseleuro6'16,334356106,8.750€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2016,141.000χλμ,Πετρέλαιο,1.500cc,75bhp,Χειροκίνητο,Ασπρο,,,Άγνωστο,,,3,5,16λεπτάπριν,193,www.car.gr/334356106,6989501066,"['Abs', 'Bluetooth', 'Cd player', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,Euro6,,,,,
Opel,Corsa,2015,Opel Corsa '15  1.4 turbo colour edition,OpelCorsa1.4turbocolouredition'15,333373459,9.999€,Μεταχειρισμένο,Κόμπακτ/Hatchback,10/2015,132.000χλμ,Βενζίνη,1.400cc,101bhp,Χειροκίνητο,Ασπρο,Δίχρωμο,,Άγνωστο,1,6,5,5,36λεπτάπριν,982,www.car.gr/333373459,6989501066,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,4/2024,Euro6,16ίντσες,,,,
Ford,Fiesta,2017,Ford Fiesta '17 Euro 6 ΟΘΟΝΗ,FordFiestaEuro6ΟΘΟΝΗ'17,334449088,11.750€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2017,98.000χλμ,Πετρέλαιο,1.500cc,86bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,Χωρίς,1,,3,5,36λεπτάπριν,92,www.car.gr/334449088,6989501066,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα που στρίβουν']",,,,Euro6c,15ίντσες,,,Ναι,
Bmw,X5,2005,Bmw X5 '05 Facelift Xdrive,BmwX5FaceliftXdriveΔΕΣΜΕΥΜΕΝΟ'05,323071272,12.200€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,6/2005,15.000χλμ,Βενζίνη,2.993cc,231bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Γκρι,Δέρμα,Μονό,,,5,5,1ημέραπριν,22228,www.car.gr/323071272,6946317446,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Usb', 'Ατρακάριστο', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,,10/2023,,19ίντσες,,,,
