brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κίνηση,Χρηματοδότηση
Volkswagen,Golf,2014,Volkswagen Golf '14  1.4 TSI ACT  BlueMotion,VolkswagenGolf1.4TSIACTBlueMotionFull'14,331943912,19.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2014,128.000χλμ,Βενζίνη,1.400cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,1/2025,19ίντσες,,,Άγνωστο,1,8,5,5,11ώρεςπριν,3576,www.car.gr/331943912,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,Euro6,Προσθιοκίνητο(FWD),
Peugeot,2008,2020,Peugeot 2008 '20  PureTech 110 STOP&START,Peugeot2008PureTech110STOP&STARTUrban'20,334482063,23.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2020,77.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2025,16ίντσες,,,Άγνωστο,,8,5,5,11ώρεςπριν,36,www.car.gr/334482063,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331696197,15.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,171.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,16ίντσες,103€,,Ζυγό,,8,5,5,14ώρεςπριν,1336,www.car.gr/331696197,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",105g/km,Euro6,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331494399,15.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,160.500χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,16ίντσες,103€,,Μονό,,8,4,5,14ώρεςπριν,879,www.car.gr/331494399,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",105g/km,Euro6,Προσθιοκίνητο(FWD),
Opel,Astra,2019,"Opel Astra '19 120 YEARS 1,6 DIESEL","OpelAstra120YEARS1,6DIESELΕΛΛΗΝΙΚΟ'19",331491925,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2019,191.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,16ίντσες,,,Μονό,,6,5,5,14ώρεςπριν,1325,www.car.gr/331491925,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",115g/km,,,
Toyota,Yaris,2018,Toyota Yaris '18 1.4 D-4D ΕΛΛΗΝΙΚΟ,ToyotaYaris1.4D-4DΕΛΛΗΝΙΚΟ5D'18,329635924,10.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,238.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,,,Ζυγό,,6,5,5,14ώρεςπριν,2083,www.car.gr/329635924,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Turbo', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",91g/km,,,
Fiat,Sedici,2007,"Fiat Sedici '07 1,6","FiatSedici1,64X4'07",326632979,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2007,112.900χλμ,Βενζίνη,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Ύφασμα,,16ίντσες,,,Ζυγό,,6,5,5,14ώρεςπριν,5164,www.car.gr/326632979,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,4x4(4WD),
Hyundai,i10,2014,Hyundai i 10 '14  1.2 FIFA World Cup,Hyundaii101.2FIFAWorldCupEdition'14,334482213,9.800€,Μεταχειρισμένο,Κουπέ-Σπόρ,7/2014,125.000χλμ,Βενζίνη,1.250cc,87bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2025,15ίντσες,,,Άγνωστο,1,6,5,5,11ώρεςπριν,181,www.car.gr/334482213,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Parktronic', 'Usb', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,Προσθιοκίνητο(FWD),
Volkswagen,Polo,2017,"Volkswagen Polo '17 Volkswagen Polo '17 1,4 tdi Bluemotion","VolkswagenPoloVolkswagenPolo'171,4tdiBluemotionΕλληνικο'17",334049996,9.490€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2017,182.000χλμ,Πετρέλαιο,1.400cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Γκρι,Ύφασμα,,,,,Μονό,,4,5,5,14ώρεςπριν,243,www.car.gr/334049996,2105690550,"['Abs', 'Bluetooth', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",100g/km,Euro6,,
Volkswagen,Golf,2019,Volkswagen Golf '19 1.6 TDI COMFORT,VolkswagenGolf1.6TDICOMFORTΕΛΛΗΝΙΚΟ'19,333626070,15.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2019,160.000χλμ,Πετρέλαιο,1.600cc,115bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,16ίντσες,,,Ζυγό,,6,5,5,14ώρεςπριν,447,www.car.gr/333626070,2105690550,"['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",109g/km,,,
Mercedes-Benz,Citan,2018,Mercedes-Benz Citan '18  Van extralong 111 CDI,Mercedes-BenzCitanVanextralong111CDIBlueEFF'18,333652200,14.000€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,12/2018,118.000χλμ,Πετρέλαιο,1.500cc,115bhp,Χειροκίνητο,Ασπρο,Μαύρο,Ύφασμα,5/2025,15ίντσες,95€,"5(Εντός)/4(Εκτός)/4,50(Μικτό)λ/100χλμ",Ζυγό,1,6,5,2,2ώρεςπριν,1780,www.car.gr/333652200,6976580632,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Συρόμενες πόρτες χ2', 'Τιμή χωρίς φπα', 'Φώτα led']",,Euro6,,
Peugeot,3008,2018,Peugeot 3008 '18  1.5 BlueHDi 130HP ACTIVE GRIP,Peugeot30081.5BlueHDi130HPACTIVEGRIPΕΛΛΗΝΙΚΟ'18,334074349,20.990€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2018,134.000χλμ,Πετρέλαιο,1.500cc,130bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,8/2024,18ίντσες,107€,"5,50(Εντός)/3,50(Εκτός)/4,50(Μικτό)λ/100χλμ",Ζυγό,1,6,5,5,2ώρεςπριν,527,www.car.gr/334074349,"2314001383,6972855407","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",109g/km,Euro6,Προσθιοκίνητο(FWD),"292,84€/μήνα"
Volkswagen,Golf,2007,Volkswagen Golf '07 FSI,"VolkswagenGolfFSI1,4'07",328032097,6.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2007,124.000χλμ,Βενζίνη,1.400cc,88bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μπεζ,Ύφασμα,1/2023,,,,Μονό,1,4,3,5,1ώραπριν,276,www.car.gr/328032097,"2102484484,6944945764,6946248060","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Parktronic', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,
Citroen,C1,2017,Citroen C1 '17,"CitroenC11,2PURETECH'17",325953977,9.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2017,103.700χλμ,Βενζίνη,1.200cc,82bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,,89€,,Άγνωστο,1,6,5,5,1ώραπριν,65,www.car.gr/325953977,"2102484484,6944945764,6946248060","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,Euro6,,
Mercedes-Benz,C200,2009,Mercedes-Benz C 200 '09  Compressor,Mercedes-BenzC200CompressorAvantgarde'09,334493603,13.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,9/2009,190.000χλμ,Βενζίνη,1.796cc,184bhp,Χειροκίνητο,Μαύρο,Μαύρο,Δέρμα-ύφασμα,8/2023,17ίντσες,320€,,Ζυγό,2,4,5,5,1ημέραπριν,83,www.car.gr/334493603,6972343565,"['Abs', 'Bluetooth', 'Cd player', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Τηλέφωνο']",,,,
Opel,Corsa,2015,Opel Corsa '15  1.3 CDTI ecoFlex,OpelCorsa1.3CDTIecoFlexAYTOMATO'15,327416589,11.390€,Μεταχειρισμένο,Κόμπακτ/Hatchback,11/2015,109.400χλμ,Πετρέλαιο,1.300cc,95bhp,Αυτόματο,Ασπρο,Δίχρωμο,Ύφασμα,,16ίντσες,0€,,Άγνωστο,1,6,5,5,1ώραπριν,121,www.car.gr/327416589,"2102484484,6944945764,6946248060","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",85g/km,Euro6,,
