brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Πινακίδα,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κίνηση,Χρώμαεσωτερικού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Κατανάλωση,Αερόσακοι,Σύνολοκατόχων,Επένδυσησαλονιού,Τέληκυκλοφορίας
Toyota,Yaris,2013,Toyota Yaris '13 Diesel  ΒΙΒΛΙΟ,ToyotaYarisDieselΒΙΒΛΙΟSERVICE'13,36666334,8.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2013,158.400χλμ,Πετρέλαιο,1.364cc,90bhp,Χειροκίνητο,Ασημί,Άγνωστο,5,5,13ώρεςπριν,28948,www.car.gr/36666334,"2721033605,6974199541","['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Mercedes-Benz,E200,1990,Mercedes-Benz E 200 '90,Mercedes-BenzE2001990'90,1609030,10.000€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/1990,78.000χλμ,Βενζίνη,2.000cc,125bhp,Χειροκίνητο,Μαύρο,Άγνωστο,5,5,13ώρεςπριν,19422,www.car.gr/1609030,"2721033605,6974199541","['{Abs', '{Immobilizer', '{Ανταλλαγή με car δεκτή', '{Ανταλλαγή με μοτο', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Υδραυλικό τιμόνι']",Πισωκίνητο(RWD),,,,,,,,,,
Seat,Ibiza,2012,Seat Ibiza '12  ST 1.2 TSI Ecomotive,SeatIbizaST1.2TSIEcomotiveStyle'12,331877653,7.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2012,230.000χλμ,Πετρέλαιο,1.200cc,75bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,13ώρεςπριν,1073,www.car.gr/331877653,"2721033605,6974199541","['{Abs', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Eco start\\u002Fstop', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Turbo', '{Usb', '{Βιβλίο service', '{Εισαγωγής', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κλιματισμός(a\\u002Fc)', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι']",,,,,,,,,,,
Opel,Karl,2017,Opel Karl '17 ACTIVE  ΒΙΒΛΙΟ SERVICE,OpelKarlACTIVEΒΙΒΛΙΟSERVICE'17,318681783,8.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2017,96.000χλμ,Βενζίνη,999cc,75bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Άγνωστο,4,4,13ώρεςπριν,5262,www.car.gr/318681783,"2721033605,6974199541","['Abs', 'Cd player', 'Cruise control', 'Immobilizer', 'Parktronic', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,,,,,,,,
Mazda,3,2013,Mazda 3 '13  1.6 Kenko BOOK SERVICE,Mazda31.6KenkoBOOKSERVICE'13,316047632,10.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,6/2013,146.000χλμ,Πετρέλαιο,1.598cc,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Άγνωστο,5,5,13ώρεςπριν,20709,www.car.gr/316047632,"2721033605,6974199541","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Κοτσαδόρος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",Προσθιοκίνητο(FWD),Μαύρο,5/2022,114g/km,17ίντσες,Euro5,"5,30(Εντός)/3,80(Εκτός)/4,30(Μικτό)λ/100χλμ",8,,,
Peugeot,208,2016,Peugeot 208,Peugeot208'16,327495360,9.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2016,93.950χλμ,Βενζίνη,1.199cc,82bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Άγνωστο,3,5,13ώρεςπριν,2992,www.car.gr/327495360,"2721033605,6974199541","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα']",,,,,,,,,,,
Fiat,Fiorino,2016,Fiat Fiorino '16 ΒΙΒΛΙΟ,FiatFiorinoΒΙΒΛΙΟSERVICE'16,320885133,8.000€Χωρίςφπα,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,2/2016,68.300χλμ,Πετρέλαιο,1.300cc,75bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Άγνωστο,4,2,13ώρεςπριν,6931,www.car.gr/320885133,"2721033605,6974199541","['{Abs', '{Bucket καθίσματα', '{Cd player', '{Esp', '{Immobilizer', '{Turbo', '{Usb', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Ράδιοκασετ\\u002Fνο', '{Τιμή χωρίς φπα', '{Υδραυλικό τιμόνι']",,,,,,,,,,,
Toyota,Yaris,2014,Toyota Yaris '14 ΒΙΒΛΙΟ,ToyotaYarisΒΙΒΛΙΟSERVICE'14,319310728,10.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2014,120.000χλμ,Πετρέλαιο,1.364cc,90bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Άγνωστο,5,5,13ώρεςπριν,13273,www.car.gr/319310728,"2721033605,6974199541","['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι']",,,,,,,,,,,
Toyota,Lite-Ace,1983,Toyota Lite-Ace,ToyotaLite-Ace'83,327543851,2.800€,Μεταχειρισμένο,ΕπαγγελματικόEπιβατικό,1/1983,170.000χλμ,Βενζίνη,1.300cc,70bhp,Χειροκίνητο,Ασπρο,Άγνωστο,5,2,13ώρεςπριν,5341,www.car.gr/327543851,"2721033605,6974199541",[],,,,,,,,,,,
Mercedes-Benz,ML350,2007,Mercedes-Benz ML 350,Mercedes-BenzML350'07,318851006,21.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2007,91.000χλμ,Βενζίνη,3.498cc,272bhp,Αυτόματο,Μαύρο(Μεταλλικό),Ζυγό,5,5,3ημέρεςπριν,420,www.car.gr/318851006,6944609820,"['Abs', 'Cruise control', 'Esp', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Αερανάρτηση', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,8/2022,,19ίντσες,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault,Clio,2018,Renault Clio,RenaultClio'18,333894148,11.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,9/2018,118.000χλμ,Πετρέλαιο,1.500cc,90bhp,Χειροκίνητο,Ασημί(Μεταλλικό),Άγνωστο,5,5,3ημέρεςπριν,538,www.car.gr/333894148,6980759682,"['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",Προσθιοκίνητο(FWD),Μαύρο,7/2023,,15ίντσες,Euro6,,5,,Ύφασμα,105€
Suzuki,Vitara,1993,Suzuki Vitara '93,SuzukiVitaraJlX'93,334239596,2.300€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/1993,243.022χλμ,Βενζίνη,1.600cc,115bhp,Χειροκίνητο,Μπλέ,Ζυγό,5,5,3ημέρεςπριν,203,www.car.gr/334239596,6978377998,[],,,,,,,,,2,,
Volkswagen,Beetle(New),2004,Volkswagen Beetle (New) '04,VolkswagenBeetle(New)Cabriolet'04,334511132,4.000€,Μεταχειρισμένο,Κάμπριο/Roadster,1/2004,106.000χλμ,Βενζίνη,1.600cc,100bhp,Χειροκίνητο,Κόκκινο,Ζυγό,2,4,3ημέρεςπριν,358,www.car.gr/334511132,6948781960,[],,Μπεζ,,,,,,,1,,
